,value
301,8.037500000000005
302,10.500000000000005
303,12.837500000000006
304,14.775000000000006
305,16.412500000000005
306,18.462500000000006
307,19.812500000000007
308,18.587500000000006
309,16.500000000000007
310,14.412500000000007
311,12.862500000000006
312,11.175000000000004
313,9.937500000000004
314,8.037500000000005
315,6.687500000000005
316,6.250000000000005
317,6.550000000000005
318,6.437500000000005
319,5.737500000000006
320,5.062500000000006
321,4.237500000000006
322,4.162500000000006
323,4.462500000000006
324,5.687500000000005
325,6.650000000000006
326,8.637500000000005
327,11.050000000000004
328,13.737500000000004
329,16.412500000000005
330,18.262500000000003
331,19.3
332,18.4375
333,17.6375
334,15.787500000000001
335,13.8125
336,11.2875
337,8.6875
338,6.6499999999999995
339,5.1875
340,4.6375
341,4.2125
342,3.775
343,3.1875000000000004
344,3.1000000000000005
345,3.1000000000000005
346,3.0500000000000003
347,2.9625000000000004
348,3.4250000000000003
349,4.0375
350,4.9875
351,6.3
352,7.875
353,9.6875
354,10.5375
355,11.2625
356,11.2
357,10.425
358,9.725
359,8.65
360,7.1625000000000005
361,5.262500000000001
362,4.637500000000001
363,4.025000000000001
364,3.7000000000000015
365,3.825000000000002
366,3.6500000000000017
367,3.6125000000000016
368,3.6625000000000014
369,3.7500000000000018
370,3.5250000000000017
371,3.5250000000000017
372,3.950000000000002
373,4.1750000000000025
374,4.725000000000002
375,5.712500000000002
376,7.287500000000002
377,8.500000000000002
378,9.225000000000001
379,9.775
380,10.1
381,10.612499999999999
382,10.362499999999999
383,9.687499999999998
384,7.9499999999999975
385,6.649999999999998
386,6.112499999999997
387,5.999999999999997
388,6.387499999999997
389,6.237499999999997
390,7.024999999999998
391,6.9499999999999975
392,7.912499999999997
393,8.487499999999997
394,9.012499999999996
395,9.362499999999995
396,9.899999999999995
397,11.087499999999995
398,11.674999999999995
399,13.049999999999995
400,13.612499999999995
401,12.724999999999996
402,13.287499999999996
403,12.099999999999996
404,10.037499999999996
405,8.824999999999996
406,6.662499999999996
407,4.474999999999996
408,2.562499999999996
409,2.562499999999996
410,0.987499999999996
411,0.987499999999996
412,0.987499999999996
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.362499999999996
419,0.887499999999996
420,1.662499999999996
421,2.899999999999996
422,5.1874999999999964
423,6.862499999999996
424,8.649999999999997
425,10.099999999999996
426,11.462499999999995
427,12.424999999999995
428,13.099999999999994
429,12.662499999999994
430,10.874999999999995
431,9.699999999999994
432,8.212499999999995
433,7.1749999999999945
434,5.824999999999994
435,4.662499999999994
436,3.6124999999999945
437,3.2249999999999943
438,3.0374999999999943
439,2.962499999999994
440,3.2249999999999943
441,3.112499999999994
442,3.112499999999994
443,3.599999999999994
444,4.787499999999993
445,6.112499999999994
446,7.637499999999994
447,9.174999999999994
448,11.212499999999993
449,13.149999999999991
450,14.762499999999992
451,15.837499999999991
452,15.57499999999999
453,14.92499999999999
454,14.362499999999988
455,13.249999999999988
456,11.062499999999988
457,9.537499999999987
458,8.524999999999986
459,7.099999999999986
460,6.937499999999987
461,6.637499999999987
462,6.149999999999986
463,6.449999999999987
464,7.762499999999987
465,8.162499999999987
466,8.337499999999988
467,9.499999999999988
468,9.512499999999989
469,10.27499999999999
470,11.54999999999999
471,12.88749999999999
472,13.22499999999999
473,13.64999999999999
474,13.662499999999989
475,12.87499999999999
476,12.112499999999988
477,11.049999999999988
478,9.374999999999988
479,7.224999999999988
480,5.637499999999988
481,4.674999999999988
482,3.987499999999988
483,3.7249999999999877
484,3.8374999999999875
485,3.7499999999999876
486,3.7624999999999877
487,3.799999999999988
488,3.7749999999999875
489,3.587499999999987
490,3.5749999999999873
491,3.3624999999999874
492,3.1999999999999873
493,3.5999999999999877
494,3.987499999999988
495,4.549999999999988
496,5.887499999999988
497,7.587499999999987
498,9.187499999999988
499,10.837499999999988
500,11.712499999999988
501,11.724999999999987
502,11.424999999999988
503,10.849999999999989
504,9.537499999999989
505,7.862499999999988
506,6.099999999999989
507,4.587499999999989
508,3.6999999999999886
509,3.3124999999999885
510,3.0749999999999886
511,3.1124999999999887
512,2.9499999999999886
513,2.7499999999999885
514,2.7499999999999885
515,2.8499999999999885
516,4.737499999999988
517,6.087499999999989
518,7.662499999999989
519,9.77499999999999
520,12.33749999999999
521,14.46249999999999
522,16.28749999999999
523,17.47499999999999
524,16.76249999999999
525,15.749999999999988
526,14.424999999999986
527,12.324999999999985
528,9.949999999999985
529,7.999999999999984
530,6.249999999999984
531,5.124999999999984
532,4.874999999999984
533,4.987499999999984
534,5.049999999999984
535,5.062499999999984
536,4.949999999999984
537,4.887499999999984
538,4.874999999999984
539,4.6624999999999845
540,3.9499999999999846
541,5.424999999999985
542,7.799999999999985
543,9.862499999999983
544,11.637499999999983
545,13.437499999999984
546,14.974999999999984
547,16.012499999999985
548,16.712499999999984
549,14.837499999999986
550,12.287499999999985
551,10.499999999999986
552,8.949999999999987
553,7.224999999999987
554,5.624999999999988
555,4.462499999999988
556,3.524999999999988
557,3.312499999999988
558,3.399999999999988
559,3.1374999999999877
560,2.7999999999999874
561,2.8749999999999876
562,2.9374999999999876
563,3.3874999999999873
564,5.037499999999987
565,6.937499999999987
566,8.899999999999986
567,11.162499999999987
568,13.699999999999987
569,16.212499999999984
570,18.574999999999985
571,20.099999999999987
572,19.474999999999987
573,18.599999999999987
574,17.087499999999988
575,15.024999999999988
576,12.737499999999988
577,10.699999999999989
578,9.137499999999989
579,7.774999999999989
580,7.224999999999989
581,6.812499999999989
582,6.41249999999999
583,6.21249999999999
584,6.537499999999989
585,6.149999999999989
586,5.924999999999988
587,5.587499999999988
588,6.5624999999999885
589,7.262499999999989
590,8.774999999999988
591,10.312499999999988
592,11.612499999999988
